"","city","cityid","temp","WD","SD","WSE","time","isRadar","Radar","t_json","degree","province"
"1","\u4e0a\u6d77",101020100,6,"\u4e1c\u5317\u98ce",0.69,1,2015-01-13 03:36:00,1,"JC_RADAR_AZ9210_JB",1421091360,45,"\u4e0a\u6d77\u5e02"
"2","\u4e0a\u6d77",101020100,6,"\u4e1c\u5357\u98ce",0.67,1,2015-01-13 00:36:00,1,"JC_RADAR_AZ9210_JB",1421080560,135,"\u4e0a\u6d77\u5e02"
"3","\u4e0a\u6d77",101020100,6,"\u4e1c\u98ce",0.67,1,2015-01-13 01:36:00,1,"JC_RADAR_AZ9210_JB",1421084160,90,"\u4e0a\u6d77\u5e02"
"4","\u4e0a\u6d77",101020100,6,"\u4e1c\u98ce",0.72,1,2015-01-13 05:36:00,1,"JC_RADAR_AZ9210_JB",1421098560,90,"\u4e0a\u6d77\u5e02"
"5","\u4e0a\u6d77",101020100,6,"\u4e1c\u98ce",0.71,1,2015-01-13 04:36:00,1,"JC_RADAR_AZ9210_JB",1421094960,90,"\u4e0a\u6d77\u5e02"
"6","\u4e0a\u6d77",101020100,6,"\u897f\u5357\u98ce",0.67,1,2015-01-13 02:36:00,1,"JC_RADAR_AZ9210_JB",1421087760,225,"\u4e0a\u6d77\u5e02"
"7","\u4e0a\u6d77",101020100,7,"\u4e1c\u5317\u98ce",0.73,1,2015-01-13 07:41:00,1,"JC_RADAR_AZ9210_JB",1421106060,45,"\u4e0a\u6d77\u5e02"
"8","\u4e0a\u6d77",101020100,7,"\u4e1c\u5317\u98ce",0.88,1,2015-01-13 16:44:00,1,"JC_RADAR_AZ9210_JB",1421138640,45,"\u4e0a\u6d77\u5e02"
"9","\u4e0a\u6d77",101020100,7,"\u4e1c\u5317\u98ce",0.91,1,2015-01-13 18:46:00,1,"JC_RADAR_AZ9210_JB",1421145960,45,"\u4e0a\u6d77\u5e02"
"10","\u4e0a\u6d77",101020100,7,"\u4e1c\u5317\u98ce",0.74,1,2015-01-13 06:41:00,1,"JC_RADAR_AZ9210_JB",1421102460,45,"\u4e0a\u6d77\u5e02"
"11","\u4e0a\u6d77",101020100,7,"\u4e1c\u98ce",0.9,1,2015-01-13 17:41:00,1,"JC_RADAR_AZ9210_JB",1421142060,90,"\u4e0a\u6d77\u5e02"
"12","\u4e0a\u6d77",101020100,8,"\u4e1c\u5317\u98ce",0.77,1,2015-01-13 14:41:00,1,"JC_RADAR_AZ9210_JB",1421131260,45,"\u4e0a\u6d77\u5e02"
"13","\u4e0a\u6d77",101020100,8,"\u4e1c\u5317\u98ce",0.95,1,2015-01-13 23:36:00,1,"JC_RADAR_AZ9210_JB",1421163360,45,"\u4e0a\u6d77\u5e02"
"14","\u4e0a\u6d77",101020100,8,"\u4e1c\u5317\u98ce",0.94,1,2015-01-13 21:46:00,1,"JC_RADAR_AZ9210_JB",1421156760,45,"\u4e0a\u6d77\u5e02"
"15","\u4e0a\u6d77",101020100,8,"\u4e1c\u5317\u98ce",0.94,1,2015-01-13 22:56:00,1,"JC_RADAR_AZ9210_JB",1421160960,45,"\u4e0a\u6d77\u5e02"
"16","\u4e0a\u6d77",101020100,8,"\u4e1c\u98ce",0.69,1,2015-01-13 09:41:00,1,"JC_RADAR_AZ9210_JB",1421113260,90,"\u4e0a\u6d77\u5e02"
"17","\u4e0a\u6d77",101020100,8,"\u4e1c\u98ce",0.92,1,2015-01-13 19:51:00,1,"JC_RADAR_AZ9210_JB",1421149860,90,"\u4e0a\u6d77\u5e02"
"18","\u4e0a\u6d77",101020100,8,"\u4e1c\u98ce",0.94,2,2015-01-13 00:51:00,1,"JC_RADAR_AZ9210_JB",1421081460,90,"\u4e0a\u6d77\u5e02"
"19","\u4e0a\u6d77",101020100,8,"\u4e1c\u98ce",0.71,1,2015-01-13 08:41:00,1,"JC_RADAR_AZ9210_JB",1421109660,90,"\u4e0a\u6d77\u5e02"
"20","\u4e0a\u6d77",101020100,8,"\u4e1c\u98ce",0.82,2,2015-01-13 15:46:00,1,"JC_RADAR_AZ9210_JB",1421135160,90,"\u4e0a\u6d77\u5e02"
"21","\u4e0a\u6d77",101020100,9,"\u4e1c\u5317\u98ce",0.68,1,2015-01-13 11:41:00,1,"JC_RADAR_AZ9210_JB",1421120460,45,"\u4e0a\u6d77\u5e02"
"22","\u4e0a\u6d77",101020100,9,"\u4e1c\u5317\u98ce",0.68,1,2015-01-13 12:40:00,1,"JC_RADAR_AZ9210_JB",1421124000,45,"\u4e0a\u6d77\u5e02"
"23","\u4e0a\u6d77",101020100,9,"\u4e1c\u5317\u98ce",0.69,2,2015-01-13 10:41:00,1,"JC_RADAR_AZ9210_JB",1421116860,45,"\u4e0a\u6d77\u5e02"
"24","\u4e0a\u6d77",101020100,9,"\u4e1c\u5317\u98ce",0.71,1,2015-01-13 13:41:00,1,"JC_RADAR_AZ9210_JB",1421127660,45,"\u4e0a\u6d77\u5e02"
"25","\u4e4c\u9c81\u6728\u9f50",101130101,-1,"\u5357\u98ce",0.69,2,2015-01-13 22:00:00,1,"JC_RADAR_AZ9991_JB",1421157600,180,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"26","\u4e4c\u9c81\u6728\u9f50",101130101,-1,"\u5357\u98ce",0.71,2,2015-01-13 23:00:00,1,"JC_RADAR_AZ9991_JB",1421161200,180,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"27","\u4e4c\u9c81\u6728\u9f50",101130101,-2,"\u4e1c\u5317\u98ce",0.68,1,2015-01-13 15:00:00,1,"JC_RADAR_AZ9991_JB",1421132400,45,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"28","\u4e4c\u9c81\u6728\u9f50",101130101,-2,"\u4e1c\u5317\u98ce",0.7,1,2015-01-13 13:00:00,1,"JC_RADAR_AZ9991_JB",1421125200,45,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"29","\u4e4c\u9c81\u6728\u9f50",101130101,-2,"\u4e1c\u5317\u98ce",0.7,2,2015-01-13 14:00:00,1,"JC_RADAR_AZ9991_JB",1421128800,45,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"30","\u4e4c\u9c81\u6728\u9f50",101130101,-2,"\u5357\u98ce",0.7,2,2015-01-13 21:00:00,1,"JC_RADAR_AZ9991_JB",1421154000,180,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"31","\u4e4c\u9c81\u6728\u9f50",101130101,-2,"\u897f\u5357\u98ce",0.66,1,2015-01-13 00:00:00,1,"JC_RADAR_AZ9991_JB",1421078400,225,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"32","\u4e4c\u9c81\u6728\u9f50",101130101,-3,"\u4e1c\u5317\u98ce",0.69,2,2015-01-13 16:00:00,1,"JC_RADAR_AZ9991_JB",1421136000,45,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"33","\u4e4c\u9c81\u6728\u9f50",101130101,-4,"\u4e1c\u98ce",0.7,1,2015-01-13 18:00:00,1,"JC_RADAR_AZ9991_JB",1421143200,90,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"34","\u4e4c\u9c81\u6728\u9f50",101130101,-4,"\u4e1c\u98ce",0.7,2,2015-01-13 17:00:00,1,"JC_RADAR_AZ9991_JB",1421139600,90,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"35","\u4e4c\u9c81\u6728\u9f50",101130101,-4,"\u4e1c\u98ce",0.72,1,2015-01-13 12:00:00,1,"JC_RADAR_AZ9991_JB",1421121600,90,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"36","\u4e4c\u9c81\u6728\u9f50",101130101,-4,"\u4e1c\u98ce",0.72,1,2015-01-13 19:00:00,1,"JC_RADAR_AZ9991_JB",1421146800,90,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"37","\u4e4c\u9c81\u6728\u9f50",101130101,-4,"\u4e1c\u98ce",0.74,2,2015-01-13 00:00:00,1,"JC_RADAR_AZ9991_JB",1421078400,90,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"38","\u4e4c\u9c81\u6728\u9f50",101130101,-4,"\u5357\u98ce",0.72,1,2015-01-13 01:00:00,1,"JC_RADAR_AZ9991_JB",1421082000,180,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"39","\u4e4c\u9c81\u6728\u9f50",101130101,-5,"\u5357\u98ce",0.7,1,2015-01-13 02:00:00,1,"JC_RADAR_AZ9991_JB",1421085600,180,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"40","\u4e4c\u9c81\u6728\u9f50",101130101,-5,"\u5357\u98ce",0.71,1,2015-01-13 03:00:00,1,"JC_RADAR_AZ9991_JB",1421089200,180,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"41","\u4e4c\u9c81\u6728\u9f50",101130101,-5,"\u897f\u5357\u98ce",0.74,1,2015-01-13 04:00:00,1,"JC_RADAR_AZ9991_JB",1421092800,225,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"42","\u4e4c\u9c81\u6728\u9f50",101130101,-6,"\u5317\u98ce",0.78,0,2015-01-13 06:00:00,1,"JC_RADAR_AZ9991_JB",1421100000,0,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"43","\u4e4c\u9c81\u6728\u9f50",101130101,-6,"\u5317\u98ce",0.79,0,2015-01-13 07:00:00,1,"JC_RADAR_AZ9991_JB",1421103600,0,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
"44","\u4e4c\u9c81\u6728\u9f50",101130101,-6,"\u5317\u98ce",0.79,0,2015-01-13 11:00:00,1,"JC_RADAR_AZ9991_JB",1421118000,0,"\u65b0\u7586\u7ef4\u543e\u5c14\u81ea\u6cbb\u533a"
